ecg,emgz,emg,eda
-0.031433,0.0018311,-0.0091553,1.4966
-0.032043,-0.0015259,0.0021362,1.4966
-0.048828,-0.0054932,0.0033569,1.4963
-0.05249,-0.015259,0.0079346,1.4969
-0.031738,-0.019531,0.0091553,1.4966
-0.00061035,-0.030518,0.036621,1.4969
0.030212,-0.022888,0.04364,1.4966
0.058594,-0.022888,0.04425,1.4963
0.079956,-0.022278,0.037231,1.4963
0.088501,-0.01709,0.037842,1.4963
0.070801,-0.0045776,0.0045776,1.496
0.032959,-0.0024414,-0.023499,1.4966
0.00061035,0.0012207,-0.040588,1.4963
-0.023193,0.0054932,-0.077209,1.4963
-0.040894,-0.0027466,-0.057678,1.4963
-0.047607,-0.0021362,-0.038452,1.4966
-0.054016,-0.0018311,-0.038147,1.496
-0.07019,0,-0.030212,1.4963
-0.074463,-0.0045776,-0.023193,1.4963
-0.048828,0,-0.022278,1.4963
-0.016479,-0.00030518,-0.013733,1.4963
-0.0042725,-0.0064087,0.0091553,1.4972
-0.0024414,-0.014038,0.019226,1.4966
0.014954,-0.015869,0.029907,1.4963
0.036926,-0.019226,0.038452,1.496
0.050049,-0.018921,0.043945,1.4957
0.067444,-0.021057,0.044556,1.4963
0.084229,-0.018921,0.039063,1.4963
0.068054,-0.020447,0.021362,1.4963
0.014954,-0.019531,0.010681,1.4954
-0.039368,-0.0088501,-0.014954,1.496
-0.062866,-0.0015259,-0.027161,1.4954
-0.062256,0.00030518,-0.030518,1.4954
-0.06134,0.0030518,-0.037842,1.4957
-0.064697,0.017395,-0.047913,1.4957
-0.065002,0.0076294,-0.057983,1.4957
-0.065613,0.0057983,-0.032349,1.4954
-0.061951,0.0094604,-0.028076,1.4957
-0.043945,0.0076294,-0.045471,1.4957
-0.018311,0.0064087,-0.058289,1.4951
0.0079346,0.0061035,-0.040588,1.4957
0.021057,0.0042725,-0.0085449,1.496
0.014038,-0.0012207,0.00030518,1.4957
0.0012207,-0.0048828,0.015564,1.4951
0,-0.013428,0.02594,1.4951
0.011597,-0.0082397,0.037842,1.4957
0.023499,-0.012512,0.039368,1.496
0.010071,-0.016174,0.02655,1.496
-0.018005,-0.0177,0.031433,1.4966
-0.030212,-0.018311,0.02594,1.4954
-0.018616,-0.0085449,0.0067139,1.4957
-0.0097656,0.0018311,-0.011902,1.4951
-0.041809,-0.0021362,-0.024719,1.4951
-0.087891,0.0039673,-0.037537,1.4948
-0.08667,0.0039673,-0.053101,1.4954
-0.048523,-0.0015259,-0.08728,1.4954
-0.013123,0.0033569,-0.070801,1.4954
0.0042725,0.0024414,-0.054321,1.4951
0.0088501,0.0036621,-0.026855,1.4957
0.0048828,0.0021362,-0.0048828,1.4954
-0.0082397,-0.0082397,0.0054932,1.496
-0.021667,-0.0033569,0.01709,1.4951
-0.020752,-0.0015259,0.019531,1.4948
0.0018311,-0.0085449,0.024719,1.4957
0.038147,-0.0088501,0.044861,1.4951
0.08667,-0.0048828,0.050659,1.4944
0.15076,-0.0097656,0.039673,1.4954
0.20203,-0.023499,0.02594,1.4951
0.2121,-0.021973,0.030212,1.4948
0.16693,-0.02533,0.021057,1.4948
0.081177,-0.019531,0.0039673,1.4951
0.00030518,-0.018311,-0.011597,1.4944
-0.05127,-0.0088501,-0.024414,1.4951
-0.083008,-0.0027466,-0.044556,1.4948
-0.095825,0.00030518,-0.064087,1.4944
-0.12207,0.00030518,-0.06897,1.4948
-0.15137,0.0015259,-0.066833,1.4948
-0.14526,0.0064087,-0.056458,1.4948
-0.10773,-0.00061035,-0.050049,1.4951
-0.063171,-0.0082397,-0.04425,1.4944
-0.015869,-0.0082397,-0.031433,1.4941
0.031433,-0.0064087,-0.0177,1.4948
0.064087,-0.0048828,0.0036621,1.4944
0.06897,-0.019836,0.014038,1.4944
0.051575,-0.013733,0.032654,1.4944
0.03479,-0.018921,0.044861,1.4944
0.0177,-0.025024,0.053101,1.4941
0,-0.02655,0.043945,1.4944
-0.015259,-0.021057,0.036011,1.4944
-0.0177,-0.023193,0.02655,1.4941
0.013428,-0.022278,0.010376,1.4932
0.073547,-0.019226,-0.0076294,1.4941
0.11047,-0.0073242,-0.021362,1.4941
0.085754,0.0094604,-0.030518,1.4938
0.033875,0.0085449,-0.039368,1.4935
-0.0076294,0.011292,-0.054321,1.4944
-0.026245,0.0079346,-0.056152,1.4944
-0.045166,0.010986,-0.052185,1.4941
-0.064087,0.010681,-0.041809,1.4944
-0.069885,0.0082397,-0.036926,1.4938
-0.057373,-0.0036621,-0.017395,1.4929
-0.033569,-0.00061035,-0.0033569,1.4938
-0.013428,-0.0039673,0.0039673,1.4935
-0.010681,-0.0177,0.011902,1.4935
-0.032349,-0.015869,0.028381,1.4944
-0.046082,-0.014954,0.042419,1.4941
-0.018005,-0.014038,0.044556,1.4938
0.02594,-0.014954,0.039978,1.4935
0.029297,-0.013428,0.025024,1.4929
0.0094604,-0.010681,0.0094604,1.4941
-0.0094604,-0.0073242,0.0021362,1.4935
-0.027466,-0.0024414,-0.0064087,1.4932
-0.038147,-0.0057983,-0.019531,1.4932
-0.047607,0.0054932,-0.045471,1.4932
-0.052795,0.0061035,-0.049744,1.4938
-0.050354,0.014648,-0.031738,1.4935
-0.050049,0.021362,-0.048828,1.4932
-0.045166,0.025635,-0.054016,1.4932
-0.032349,0.020142,-0.06012,1.4929
-0.023193,0.027771,-0.036316,1.4935
-0.015564,0.023804,-0.010376,1.4932
-0.012207,0.010986,-0.0012207,1.4935
-0.012817,-0.00030518,0.021973,1.4932
-0.014648,-0.0073242,0.032043,1.4932
-0.0082397,-0.010986,0.06134,1.4926
0.012207,-0.022278,0.062561,1.4935
0.030823,-0.022278,0.047913,1.4926
0.034485,-0.019531,0.028076,1.4929
0.016174,-0.023499,0.020752,1.4932
-0.016174,-0.018921,0.013123,1.4926
-0.039978,-0.012817,-0.0018311,1.4935
-0.045471,-0.0088501,-0.022583,1.4929
-0.05188,0.0048828,-0.033569,1.4929
-0.053101,-0.0064087,-0.045166,1.4929
-0.029297,0.0045776,-0.06897,1.4926
0.0064087,0.011292,-0.055542,1.4932
0.024719,0.014648,-0.052185,1.4929
0.010986,0.0177,-0.05249,1.4929
-0.021362,0.012207,-0.053406,1.4929
-0.038452,0.0048828,-0.04303,1.4929
-0.037537,0.0039673,-0.030518,1.4929
-0.033875,0.0021362,-0.012207,1.4923
-0.037842,-0.0054932,0.00061035,1.4926
-0.045471,-0.0076294,0.018311,1.4926
-0.024719,-0.014038,0.032043,1.4932
0.026855,-0.018311,0.041199,1.4926
0.066833,-0.020447,0.044556,1.4926
0.057678,-0.012207,0.034485,1.492
0.015564,-0.013428,0.026855,1.4923
-0.026245,-0.01709,0.012207,1.492
-0.057983,-0.012207,-0.0039673,1.4926
-0.065308,-0.0054932,-0.015259,1.492
-0.055847,-0.0073242,-0.032043,1.4917
-0.052185,-0.0057983,-0.055542,1.4917
-0.063171,0.0021362,-0.067444,1.4926
-0.070801,0.0067139,-0.074158,1.492
-0.070496,0.0076294,-0.078125,1.492
-0.069275,0.013733,-0.06958,1.4929
-0.057373,0.011902,-0.061035,1.4917
-0.029297,0.010376,-0.049133,1.492
0.013428,0.010071,-0.021362,1.4923
0.038452,-0.0015259,-0.0018311,1.4923
0.024109,-0.0079346,0.0033569,1.4917
-0.021362,-0.0045776,0.011597,1.4917
-0.063782,-0.0064087,0.024719,1.4914
-0.066528,-0.013428,0.033569,1.492
-0.05249,-0.0082397,0.040283,1.492
-0.042114,-0.0024414,0.032654,1.4917
-0.040283,-0.0027466,0.031128,1.492
-0.054016,-0.0033569,0.019836,1.4917
-0.057678,-0.0027466,-0.0054932,1.4917
-0.042114,0.0067139,-0.023193,1.4917
-0.010376,0.0079346,-0.041199,1.4923
0.013428,0.011292,-0.057068,1.4911
0.016785,0.0045776,-0.063171,1.4917
0.015869,0.012512,-0.064087,1.4914
0.021973,0.0082397,-0.037537,1.4911
0.023804,0.010986,-0.047302,1.4923
0.022278,0.0018311,-0.058289,1.492
0.049744,0.0048828,-0.058594,1.492
0.10895,0.0039673,-0.030518,1.4914
0.14343,-0.0057983,-0.0012207,1.4917
0.12238,-0.0097656,0.0064087,1.492
0.062866,-0.014954,0.021362,1.4917
-0.0091553,-0.019531,0.022583,1.4917
-0.074768,-0.019836,0.0039673,1.4911
-0.11139,-0.02533,0.020447,1.4917
-0.11261,-0.030212,0.044861,1.4914
-0.092163,-0.028076,0.043335,1.4917
-0.065613,-0.028992,0.0354,1.4917
-0.04364,-0.020752,0.0054932,1.4911
-0.040283,-0.0057983,-0.010681,1.4911
-0.049744,-0.012207,-0.02533,1.4914
-0.062866,0.0064087,-0.050659,1.4905
-0.05188,0.013123,-0.057678,1.4914
-0.021973,0.0088501,-0.061951,1.4914
